23/08/2017 09:40:28:674  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:Start | Framework | Start |  |  | 
23/08/2017 09:40:28:914  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:ddlog4j | Framework | ddlog4j |  |  | undefined
23/08/2017 09:40:29:036  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:get_BpId | Framework | get_BpId |  |  | undefined
23/08/2017 09:40:29:103  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:cticallinfo | Framework | cticallinfo |  |  | undefined
23/08/2017 09:40:29:170  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:check_testModeAND_anilenght | Framework | check_testModeAND_anilenght |  |  | undefined
23/08/2017 09:40:29:252  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:AN_991225 | Framework | AN_991225 |  |  | undefined
23/08/2017 09:40:51:687  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:assign_Variable | Framework | assign_Variable | AN_991225___utterance | 0903191575^0.949999988079071^0^0 | undefined
23/08/2017 09:40:51:741  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:CheckAni | Framework | CheckAni |  |  | undefined
23/08/2017 09:40:51:805  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:CF_check_mobile | Framework | CF_check_mobile |  |  | undefined
23/08/2017 09:40:51:860  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:CF_check_mobile-Begin | Framework | CF_check_mobile-Begin |  |  | undefined
23/08/2017 09:40:51:923  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:CF_check_mobile-select_FE_MSIS_CB2_TBL2 | Framework | CF_check_mobile-select_FE_MSIS_CB2_TBL2 |  |  | undefined
23/08/2017 09:40:51:979  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:select_FE_MSIS_CB2_TBL2-Begin | Framework | select_FE_MSIS_CB2_TBL2-Begin |  |  | undefined
23/08/2017 09:40:52:040  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:select_FE_MSIS_CB2_TBL2-assign_FE_MSIS_CB2_TBL2 | Framework | select_FE_MSIS_CB2_TBL2-assign_FE_MSIS_CB2_TBL2 |  |  | undefined
23/08/2017 09:40:52:101  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:select_FE_MSIS_CB2_TBL2-CF_selectDBAPI | Framework | select_FE_MSIS_CB2_TBL2-CF_selectDBAPI |  |  | undefined
23/08/2017 09:40:52:163  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:CF_selectDBAPI-Begin | Framework | CF_selectDBAPI-Begin |  |  | undefined
23/08/2017 09:40:52:227  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:CF_selectDBAPI-selectDBAPI | Framework | CF_selectDBAPI-selectDBAPI |  |  | undefined
23/08/2017 09:40:54:875  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:CF_selectDBAPI-next | Framework | CF_selectDBAPI-next |  |  | undefined
23/08/2017 09:40:54:927  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:select_FE_MSIS_CB2_TBL2-next | Framework | select_FE_MSIS_CB2_TBL2-next |  |  | undefined
23/08/2017 09:40:54:981  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:CF_check_mobile-select_FE_CUST_CB2_TBL | Framework | CF_check_mobile-select_FE_CUST_CB2_TBL |  |  | undefined
23/08/2017 09:40:55:033  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:select_FE_CUST_CB2_TBL-Begin | Framework | select_FE_CUST_CB2_TBL-Begin |  |  | undefined
23/08/2017 09:40:55:086  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:select_FE_CUST_CB2_TBL-assign_FE_CUST_CB2_TBL | Framework | select_FE_CUST_CB2_TBL-assign_FE_CUST_CB2_TBL |  |  | undefined
23/08/2017 09:40:55:141  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:select_FE_CUST_CB2_TBL-CF_selectDBAPI | Framework | select_FE_CUST_CB2_TBL-CF_selectDBAPI |  |  | undefined
23/08/2017 09:40:55:195  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:CF_selectDBAPI-Begin | Framework | CF_selectDBAPI-Begin |  |  | undefined
23/08/2017 09:40:55:250  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:CF_selectDBAPI-selectDBAPI | Framework | CF_selectDBAPI-selectDBAPI |  |  | undefined
23/08/2017 09:40:55:309  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:CF_selectDBAPI-next | Framework | CF_selectDBAPI-next |  |  | undefined
23/08/2017 09:40:55:362  INFO - Node Entry | session id:sess6799850 | DonationActivities_2:select_FE_CUST_CB2_TBL-next | Framework | select_FE_CUST_CB2_TBL-next |  |  | undefined
